key;name;year;for_pop;for_anwerber;for_EU28;for_EUeast;for_notEU;for_syria;for_afghan;for_iraq;ss_total;ss_anwerber;ss_syria;ss_afghan;ss_iraq;ss_total_accept;ss_anwerber_accept;ss_syria_accept;ss_afghan_accept;ss_iraq_accept;ss_total_denied;ss_anwerber_denied;ss_syria_denied;ss_afghan_denied;ss_iraq_denied;ss_total_duldung;ss_anwerber_duldung;ss_syria_duldung;ss_afghan_duldung;ss_iraq_duldung
05954;Ennepe-Ruhr-Kreis  ;2013;26915;17705;12180;3945;14735;195;65;220;2650;1240;135;45;170;1760;950;110;25;125;460;205;5;0;25;430;180;5;0;25
05958;Hochsauerlandkreis  ;2013;17680;10650;8910;2885;8770;205;55;30;2070;995;150;50;25;1215;705;125;20;10;420;225;0;5;10;385;195;0;5;10
05962;Märkischer Kreis  ;2013;46805;34610;21045;5385;25760;340;100;195;2935;1235;250;80;145;1665;795;215;35;100;735;325;10;5;30;675;300;5;5;30
05966;Olpe  ;2013;10060;6945;4295;1425;5765;80;35;45;1020;485;50;35;45;690;435;45;10;20;115;25;5;5;10;110;20;5;5;10
05970;Siegen-Wittgenstein  ;2013;22790;12445;8635;4430;14155;290;120;140;2630;1260;150;85;105;1775;1010;130;40;60;445;170;5;15;15;410;150;5;15;15
05974;Soest  ;2013;20900;11265;11255;3665;9640;320;35;125;2015;705;205;30;100;1135;465;190;15;35;455;155;5;5;35;380;125;5;5;35
05978;Unna  ;2013;33430;22825;8895;4550;24535;285;150;175;2910;1190;200;105;130;1705;810;160;45;75;610;285;10;15;20;495;230;5;15;20
06;Hessen;2013;810640;413955;371675;182865;438960;3910;12295;2490;57600;15020;2170;7805;1655;42055;12395;1670;5730;1170;6240;1970;120;385;275;3255;1025;50;185;210
064;Regierungsbezirk Darmstadt ;2013;652900;337730;314080;152980;338820;2095;9800;1590;40240;10585;1080;5925;1055;31425;9215;845;4590;850;4050;1140;65;275;115;1635;475;20;115;75
06411;Darmstadt, Stadt  ;2013;28795;13035;11080;4735;17715;115;280;110;2755;660;35;155;50;1180;320;20;85;25;1530;335;15;70;25;35;5;0;0;0
06412;Frankfurt am Main, Stadt  ;2013;188510;94315;89505;44925;99005;230;2555;295;9435;2365;55;1215;155;8660;2255;45;1100;130;410;100;5;40;20;230;35;0;25;15
06413;Offenbach am Main, Stadt  ;2013;42950;24290;23995;13345;18950;30;575;90;1840;640;15;295;50;1730;615;15;280;40;75;20;0;5;5;45;15;0;5;5
06414;Wiesbaden, Stadt  ;2013;50715;25965;23950;11050;26765;585;720;445;3300;675;315;465;350;2890;620;275;360;340;110;40;5;15;0;75;25;5;5;0
06431;Bergstraße  ;2013;27345;13165;13485;7920;13860;130;345;60;2650;965;80;265;45;1985;870;65;185;25;250;70;5;15;15;180;45;5;10;15
06432;Darmstadt-Dieburg  ;2013;34205;18215;18090;8070;16110;115;435;85;2415;880;60;315;55;1690;785;20;165;40;200;55;20;25;10;130;35;0;10;10
06433;Groß-Gerau  ;2013;48040;30470;23395;9370;24645;110;305;45;2305;590;45;185;30;1885;555;30;135;20;90;25;5;5;0;60;10;5;5;0
06434;Hochtaunuskreis  ;2013;31995;12905;16060;6750;15940;20;580;30;1945;340;10;385;25;1440;285;5;290;20;175;55;0;10;0;110;35;0;5;0
06435;Main-Kinzig-Kreis  ;2013;49400;28550;22095;11380;27305;185;925;125;3535;1085;120;680;95;2600;990;90;475;70;245;80;0;15;10;175;45;0;10;10
06436;Main-Taunus-Kreis  ;2013;34050;15385;17555;7860;16495;60;630;30;2080;445;35;435;20;1515;385;25;335;20;170;45;0;15;0;155;35;0;10;0
06437;Odenwaldkreis  ;2013;10585;6790;5720;2455;4865;20;15;15;325;165;10;5;10;250;145;5;5;5;20;5;0;0;5;15;0;0;0;5
06438;Offenbach  ;2013;59775;33270;27490;13285;32285;75;1600;145;3450;740;20;905;85;2590;600;15;710;55;340;105;0;35;15;110;25;0;10;5
06439;Rheingau-Taunus-Kreis  ;2013;17295;7490;8625;4480;8670;130;305;60;1530;370;85;220;45;1135;340;70;170;35;100;25;5;10;5;75;20;0;5;0
06440;Wetteraukreis  ;2013;29240;13885;13030;7345;16205;295;525;60;2680;660;200;400;45;1870;455;165;300;25;335;185;10;15;5;245;140;5;5;5
